구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
001,진로 탐색,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"선생님. 제가 00이가 되고 싶은데요, 이 분야에 대해 어떻게 생각하세요? ",,,,,,,,,,,
,,선생님,"오~ 그래 , 은서이 00이가 되고 싶다니, 멋진걸~ 언제부터 그런 생각을 했니?",,,,,,,,,,,
,,학생,"최근에 친구들과 이야기 하면서(부모님과 이야기하면서, 관련 특강을 듣고나서) 그 분야에 관심이 생겼어요, 그런데 그 분야에 대해 조금더 알고 싶어요",,,,,,,,,,,
,,선생님,"그렇구나, 그럼 선생님과 그 00 분야에 대해 함께 알아볼까~",,,,,,,,,,,
002,진로 탐색,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"선생님~ 다른 친구들은 하나씩 진로를 정하는데, 저는 아직 뭘 해야 될지 모르겠어요",,,,,,,,,,,
,,선생님,은서가 진로를 정하지 못해 조급해 하는구나.,,,,,,,,,,,
,,학생,"조급하기도 하고, 내년 과목도 선택해야 하는데, 진로를 정하지 못해서 어떤 과목을 선택해야 할지 모르겠어요",,,,,,,,,,,
,,선생님,"그렇구나. 그럼 선생님과 진로 탐색 검사도 하면서, 네 진로에 대해 고민해보고, 그것에 맟춰 과목 선택도 고민해 볼까?",,,,,,,,,,,
003,진로 탐색,선생님,"진로에 대해 고민이 있다고 했는데, 어떤 부분이 가장 고민인가요?",,,,,,,,,,,
,,학생,제가 어떤 직업이 저한테 맞는지 잘 모르겠어요.,,,,,,,,,,,
,,선생님,어떤 분야에 관심이 있는지 생각해본 적 있나요?,,,,,,,,,,,
,,학생,특별히 떠오르는 건 없어요. 그냥 막연해요.,,,,,,,,,,,
,,선생님,"그렇다면, 일단 자신이 좋아하는 활동이나 흥미 있는 분야를 찾아보는 게 좋겠어요. 최근에 흥미를 느꼈던 활동이 있나요?",,,,,,,,,,,
,,학생,운동이나 사람들과 이야기하는 게 재밌어요.,,,,,,,,,,,
,,선생님,"그러면 사람과 소통하거나 팀을 이루는 직업을 고려해볼 수 있을 것 같네요. 예를 들어, 상담사나 스포츠 관련 직업은 어때요?",,,,,,,,,,,
,,학생,"상담사는 좀 관심이 가는데, 구체적으로 어떤 일을 하는지 모르겠어요.",,,,,,,,,,,
,,선생님,상담사는 사람들의 문제를 듣고 해결을 도와주는 역할을 해요. 사람의 심리를 이해하고 도움을 줄 수 있다는 점에서 보람을 느낄 수 있죠.,,,,,,,,,,,
,,학생,상담사라는 직업에 대해 좀 더 알아보고 싶어요.,,,,,,,,,,,
,,선생님,좋아요. 다음 상담 때 구체적으로 상담사가 되기 위한 과정에 대해 이야기해볼까요?,,,,,,,,,,,
004,진로 탐색,선생님,진로 탐색에 대해 더 고민해보았나요?,,,,,,,,,,,
,,학생,"네, 상담사라는 직업에 관심이 생겼어요.",,,,,,,,,,,
,,선생님,좋은 선택이에요. 상담사가 되려면 심리학이나 상담학을 전공하는 게 도움이 돼요.,,,,,,,,,,,
,,학생,그렇군요. 그런데 심리학을 전공하려면 어떤 준비를 해야 할까요?,,,,,,,,,,,
,,선생님,"우선, 심리학과에 진학하기 위해 내신과 수능 준비가 중요해요. 심리학과는 경쟁이 치열한 편이라 성적 관리가 필요하죠.",,,,,,,,,,,
,,학생,"네, 성적은 어느 정도 나오는데, 활동은 어떻게 해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,심리 관련 봉사활동이나 동아리 활동을 추천해요. 학교에서 그런 활동을 찾을 수 있을 거예요.,,,,,,,,,,,
,,학생,봉사활동이나 동아리 활동도 중요한가요?,,,,,,,,,,,
,,선생님,"네, 심리학은 사람을 이해하는 학문이기 때문에 다양한 사람들과의 경험이 중요해요.",,,,,,,,,,,
,,학생,그럼 봉사활동을 통해 사람들을 돕는 경험을 쌓아보면 좋겠네요.,,,,,,,,,,,
,,선생님,맞아요. 경험을 통해 자신에게 맞는지 확인해볼 수 있을 거예요.,,,,,,,,,,,
005,진로 탐색,학생,"선생님, 진로 때문에 고민이 많아서 상담을 받고 싶어요.",,,,,,,,,,,
,,선생님,"그래, 어떤 점이 가장 고민되니? 구체적으로 이야기해줄 수 있겠니?",,,,,,,,,,,
,,학생,어떤 직업이나 학과를 선택해야 할지 모르겠어요. 저에게 맞는 길이 무엇인지 알고 싶어요.,,,,,,,,,,,
,,선생님,혹시 관심 있는 분야나 좋아하는 과목이 있니?,,,,,,,,,,,
,,학생,"수학과 과학을 좋아하지만, 예술에도 관심이 많아요. 둘 다 포기하기 힘들어요.",,,,,,,,,,,
,,선생님,그렇구나. 그러면 너의 강점이나 잘하는 부분은 무엇이라고 생각하니?,,,,,,,,,,,
,,학생,"창의적인 활동을 즐기고, 논리적인 문제 해결도 잘하는 편이에요.",,,,,,,,,,,
,,선생님,부모님께서는 어떤 의견을 가지고 계시니?,,,,,,,,,,,
,,학생,부모님은 안정적인 직업을 원하셔서 공대나 의대를 추천하세요. 하지만 저는 꼭 그 길이 맞는지 확신이 안 서요.,,,,,,,,,,,
,,선생님,네 마음속에서는 어떤 방향을 원하니?,,,,,,,,,,,
,,학생,"저의 흥미를 따라가고 싶지만, 미래에 대한 불안도 있어요",,,,,,,,,,,
,,선생님,이번 상담을 통해 어떤 목표를 이루고 싶니?,,,,,,,,,,,
,,학생,"저에게 적합한 직업이나 학과를 찾고, 어떻게 준비해야 할지 계획을 세우고 싶어요.",,,,,,,,,,,
,,선생님,"좋아. 그럼 우리가 함께 직업과 학과에 대한 정보를 탐색하고, 너의 흥미와 강점을 분석해보자. 필요하다면 진로 적성 검사도 해볼 수 있어.",,,,,,,,,,,
,,학생,"네, 그렇게 하면 좋을 것 같아요.",,,,,,,,,,,
,,선생님,또 필요한 것이 있니? 혹시 부모님과의 의견 차이로 어려움을 겪고 있니?,,,,,,,,,,,
,,학생,"네, 부모님과 어떻게 대화해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,그 부분도 함께 고민해보자. 부모님께 너의 생각을 잘 전달할 수 있는 방법을 찾아보자.,,,,,,,,,,,
,,학생,"감사합니다, 선생님. 많은 도움이 될 것 같아요.",,,,,,,,,,,
006,진로 탐색,학생,"선생님, 진로 때문에 고민이 많아서 상담을 받고 싶어요.",,,,,,,,,,,
,,선생님,"선생님: 그래, 어떤 점이 가장 고민되니? 구체적으로 이야기해줄 수 있겠니?",,,,,,,,,,,
,,학생,어떤 직업이나 학과를 선택해야 할지 모르겠어요. 저에게 맞는 길이 무엇인지 알고 싶어요.,,,,,,,,,,,
,,선생님,혹시 관심 있는 분야나 좋아하는 과목이 있니?,,,,,,,,,,,
,,학생,"수학과 과학을 좋아하지만, 예술에도 관심이 많아요. 둘 다 포기하기 힘들어요.",,,,,,,,,,,
,,선생님,그렇구나. 그러면 너의 강점이나 잘하는 부분은 무엇이라고 생각하니?,,,,,,,,,,,
,,학생,"창의적인 활동을 즐기고, 논리적인 문제 해결도 잘하는 편이에요.",,,,,,,,,,,
,,선생님,부모님께서는 어떤 의견을 가지고 계시니?,,,,,,,,,,,
,,학생,부모님은 안정적인 직업을 원하셔서 공대나 의대를 추천하세요. 하지만 저는 꼭 그 길이 맞는지 확신이 안 서요.,,,,,,,,,,,
,,선생님,네 마음속에서는 어떤 방향을 원하니?,,,,,,,,,,,
,,학생,"저의 흥미를 따라가고 싶지만, 미래에 대한 불안도 있어요",,,,,,,,,,,
,,선생님,불안은 인간이라면 누구나 갖고 있는거야..샘도 쑥스럽지만 불안하기도 하단다.,,,,,,,,,,,
,,학생,정말요? 샘이 고딩일때그러셨나요?,,,,,,,,,,,
,,선생님,"응, 그래. 그런데, 오히려 인간은 누구나 고민하고 생가가하는 존재라 그런지, 오히려 고등학교 학창시절 진로를 정할 때 보다, 어른으로서 선생님으로써 하루하루 살고 있는 현생에서도 더더욱 그렇단다. 신기하지?",,,,,,,,,,,
,,학생,"(공감하며) 와, 샘진짜 몰랐어요. 샘은 어른이 되서 고민이 1도 없다 생각했는데 지금도 늘 고민하고 발전하려 애쓰신다는게 정말 존경스럽고 놀라워요.",,,,,,,,,,,
,,선생님,"선생님:존경은,,무슨~ 샘도 이번 생은 처음이라 매번 한 순간 한순간 배우면서 성장한단다.. 그래도 너보다 인생을 좀더 많이 살고 교육현장에 꽤 몸담았으니, 샘이 너 고민은 어느 면에서 수월하게 들어줄 수 있을거같아..고민있으면 언제든 찾아오렴.",,,,,,,,,,,
,,학생,샘 감사합니다.,,,,,,,,,,,
007,진로 탐색,학생," (노크하며) 안녕하세요~! 선생님, 진로 상담 해도될까요?",,,,,,,,,,,
,,선생님,"어, 안녕. 잘지냈니? 물론이지 어서 오렴.",,,,,,,,,,,
,,학생,저는 몬가 그 전에 상담 이후 이루고 싶은게 있는거 같기도 하기 손에 잡힐듯 말듯해서 샘한테 sos청하러 왔습니다.,,,,,,,,,,,
,,선생님,"선생님: 아하, 그러니? 환영한다. 이번 상담을 통해 어떤 목표를 이루고 싶니?",,,,,,,,,,,
,,학생,"저에게 적합한 직업이나 학과를 찾고, 어떻게 준비해야 할지 계획을 세우고 싶어요.",,,,,,,,,,,
,,선생님,좋아. 꽤 구체적이구나.,,,,,,,,,,,
,,학생,"네, 맞아요. 보다 체계적으로 샘과의 상담시간에 여쪄보고 싶은 부분들을 생각하고 왔답니다. ㅎㅎ",,,,,,,,,,,
,,선생님,"잘했어. 그럼 우리가 함께 직업과 학과에 대한 정보를 탐색하고, 너의 흥미와 강점을 분석해보자. 필요하다면 진로 적성 검사도 해볼 수 있어.",,,,,,,,,,,
,,학생,"네, 그렇게 하면 좋을 것 같아요.",,,,,,,,,,,
,,선생님,선생님: 또 필요한 것이 있니? 혹시 부모님과의 의견 차이로 어려움을 겪고 있니?,,,,,,,,,,,
,,학생,"네, 부모님과 어떻게 대화해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,그런데 부모님도 너와 같은 시기가 있었어. 그러니까 더 진솔하게 다가가봐.,,,,,,,,,,,
,,학생,"아니에요. 저희부모님은 고등학교때도 공부잘하시고, 좋은학교 나오셔서 제 고민이나 이런건 이해못하시고, 좋은학교 안갈거면 아예 고졸로 남아라 이러시더라고요.",,,,,,,,,,,
,,선생님,아~그런 고민이 있구나... 그런데 반드시 그렇지는 않을거야. 샘이 부모님과 한번 깊은 통화도 해볼게.,,,,,,,,,,,
,,학생,아니요..절대..샘이 전화 절대하지말아주세요. 더 모라고 하실거에요.,,,,,,,,,,,
,,선생님,알았어. 그점 샘이 염두할게. 그 부분도 함께 고민해보자. 부모님께 너의 생각을 잘 전달할 수 있는 방법을 찾아보자.,,,,,,,,,,,
,,학생,"감사합니다, 선생님. 많은 도움이 될 것 같아요.",,,,,,,,,,,
008,진로 탐색,학생,"선생님, 안녕하세요. 요즘 진로 때문에 고민이 많아서 상담을 좀 받고 싶어요.",,,,,,,,,,,
,,선생님,"그래, 잘 왔어. 요즘 어떤 부분에서 고민이 많아? 하고 싶은 게 잘 안 떠오르는 건가?",,,,,,,,,,,
,,학생,네 맞아요. 뭘 해야 할지 전혀 감이 안 와요. 다들 꿈을 찾는 거 같은데 저는 그게 잘 안 돼요.,,,,,,,,,,,
,,선생님,그럴 수 있어. 꿈을 찾는 게 생각보다 쉽지 않거든. 혹시 그동안 관심 있었던 활동이나 과목 같은 건 있어?,,,,,,,,,,,
,,학생,"음... 딱히 뭐가 있었던 건 아닌데, 예전에 디자인 수업이 재미있었던 기억이 나요.",,,,,,,,,,,
,,선생님,디자인에 관심이 있었구나. 그럼 디자인 관련된 직업이나 전공을 좀 더 알아보는 게 도움이 될 수 있을 것 같아. 혹시 디자인 쪽으로 더 깊이 알아보고 싶은 생각은 있어?,,,,,,,,,,,
,,학생,네. 디자인은 좀 더 알고 싶긴해요. 근데 막상 이 길이 제 길이 맞는지도 잘 모르겠어요.,,,,,,,,,,,
,,선생님,"맞아. 그런 고민도 자연스러운거야. 그럼, 디자인을 포함해서 네가 관심을 가질 만한 다양한 직업을 탐색해보는 건 어때? 그렇게하면서 더 끌리는 분야가 있는지 찾아보자.",,,,,,,,,,,
,,학생,"네, 그렇게 해보면 좋을 거 같아요.",,,,,,,,,,,
,,선생님,"좋아. 다음 시간까지 너도 디자인이나 다른 분야에 대해 조금씩 알아보고, 내가 추천할만한 자료들도 준비해볼게. 우리 같이 고민해보자.",,,,,,,,,,,
,,학생,넵 감사합니다.,,,,,,,,,,,
009,진로 탐색,학생,선생님. 진로 때문에 상담을 받고 싶어서요. 요즘 고민이 많아요.,,,,,,,,,,,
,,선생님,"그래, 어떤 고민인지 말해줄 수 있을까?",,,,,,,,,,,
,,학생,"음..... 사실 제가 하고 싶은 게 바뀔 때마다 부모님과 자꾸 부딪혀요. 제가 어떤 길로 가야 할지 모르겠고, 부모님은 다른 걸 원하시고요.",,,,,,,,,,,
,,선생님,"부모님과 진로 관련해서 갈등이 있구나. 너는 어떤 방향으로 가고 싶고, 부모님은 어떤 걸 원하셔?",,,,,,,,,,,
,,학생,"저는 예술 쪽, 특히 미술이 좋은 거 같은데, 부모님께서는 더 안정적인 직업을 가지라고 하세요. 공무원이 좋겠다고 하세요.",,,,,,,,,,,
,,선생님,부모님께서는 안정적인 직업을 원하시는구나. 그런데 너는 예술 쪽에 흥미가 많은 거고. 그래서 그 사이에서 갈등이 생기는 거구나.,,,,,,,,,,,
,,학생,"네, 맞아요. 저도 안정적인 게 나쁜 건 아닌데, 제가 좋아하는 일까지 포기해야 하나 싶어서요.",,,,,,,,,,,
,,선생님,그럴 수 있지. 좋아하는 일과 현실적인 선택 사이에서 고민하는 건 흔한 일이야. 네가 어떤 선택을 하면 더 좋을지 같이 고민해보자. 부모님의 의견을 존중하면서도 네가 원하는 길을 어떻게 찾을 수 있을지 같이 고민해 보는거지,,,,,,,,,,,
,,학생,네. 좋아요. 너무 갈등만 하고 답은 못 찾으니까 더 답답한 거 같아요.,,,,,,,,,,,
,,선생님,"알겠어. 그럼 네가 가진 관심사와 부모님의 기대 사이에서 현실적인 선택지를 찾아보고, 너의 진로를 어떻게 계획할지 함께 이야기해보자.",,,,,,,,,,,
,,학생,네에 그렇게하면 좋을 거 같아요. 감사합니다!,,,,,,,,,,,
010,진로탐색,선생님,"안녕, 무슨 고민이 있어서 상담을 신청했니?",,,,,,,,,,,
